Lemma,Sense Key,Definition,Frequency,Correct Translation?,Correct Definition?,Notes
doformaig,increase%2:30:02::,make bigger or more,2,,,
fodáli,divide%2:41:00::,separate into parts or portions,2,,,
ainm díles,proper_noun%1:10:00::,a noun that denotes a particular thing; usually capitalized,5,,1,
ben día,goddess%1:18:00::,a female deity,4,,1,"I think always a MWE in the UD treebanks, but perhaps this is arbitrary and it could be a compound. No single headword in eDIL though."
dotuit,fall%2:30:08::,pass suddenly and passively into a state of body or mind,2,,,
asgnin,acknowledge%2:31:09::,accept (someone) to be what is claimed or accept their power and authority,2,,,
attoíbed,attachment%1:04:02::,faithful support for a cause or political party or religion,2,,,
dúildetu,nature%1:07:02::,the essential qualities or characteristics by which something is recognized,2,,,
conscara,destroy%2:36:00::,"do away with, cause the destruction or undoing of",2,,,
ainmmnigud,naming%1:10:00::,the verbal act of naming,3,"designation, denomination, naming",1,
dobeir,yield%2:40:02::,be the cause or source of,3,,,
acuit,acute_accent%1:10:00::,a mark placed above a vowel to indicate pronunciation,5,,,
léigend,reading%1:09:00::,the cognitive process of understanding a written linguistic message,2,,,
derb,certain%3:00:01::,established beyond doubt or question; definitely known,2,,,
doecmaing _,happen%2:30:02::,"happen, occur, or be the case in the course of events or by chance",2,,1,"Similar to other entries, but with underscore for some reason."
aitherrechtaigthe _,patronymic%1:10:00::,a family name derived from name of your father or a paternal ancestor (especially with an affix (such as ‘-son’ in English or ‘O'-’ in Irish) added to the name of your father or a paternal ancestor),2,,1,"Why the underscore?"
lá,day%1:28:01::,a day assigned to a particular purpose or observance,4,,1,"Technically possible, but this would probably necessitate a MWE where 'lá' = 'day' is followed by another noun in the genitive, e.g. 'lá bratha/o' = 'doomsday'."
laithe,day%1:28:01::,a day assigned to a particular purpose or observance,2,,,
lá sin,day%1:28:01::,a day assigned to a particular purpose or observance,2,"that day",1,"Just 'lá' = 'day' with a demonstrative, i.e. 'that day'. I suppose the definition is correct, but I don't think it should be considered a single lexeme."
gainithir som,give_birth%2:29:00::,cause to be born,2,,,
tairmḟorcend,termination%1:28:00::,a coming to an end of a contract period,8,,,
conutaing,construct%2:36:00::,make by combining materials and parts,3,,,
cland,child%1:18:01::,a human offspring (son or daughter) of any age,3,,,
soíre,freedom%1:26:00::,the condition of being free; the power to act or speak or think without externally imposed restraints,3,,,
bráthair,brother%1:18:00::,a male with the same parents as someone else,5,,1,
bráthair athair,brother%1:18:00::,a male with the same parents as someone else,2,,,"Why is 'athair' 'father' included in this entry?"
athair,brother%1:18:00::,a male with the same parents as someone else,2,"father",0,
glúas,gloss%1:10:00::,an explanation or definition of an obscure word in a text,4,,1,
ríagolda,regular%3:00:00::,in accordance with fixed order or procedure or principle,6,,1,
ríagol,convention%1:09:00::,something regarded as a normative example,3,"rule",1,"I'm on the fence about this one. This interpretation is possible because it can refer to spelling 'rules' or grammatical 'rules', though to call these 'conventions' might be too soft."
femen,feminine%1:10:00::,a gender that refers chiefly (but not exclusively) to females or to objects classified as female,9,,,
attá,come%2:42:04::,to be the product or result,5,,0,"This is the substantive verb. It does not mean 'to come'."
